Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status,Image Src
nike-air-zoom-pegasus-40,Nike Air Zoom Pegasus 40,A responsive daily trainer with Nike React foam for road running.,Nike,Running Shoes,"Nike, Running Shoes",TRUE,Size,7,shoe-001-7,shopify,100,deny,manual,89.99,TRUE,TRUE,active,https://images.unsplash.com/photo-1562613521-6b5293e5b0ea?fm=jpg&q=80&w=1200&auto=format&fit=crop
nike-air-zoom-pegasus-40,,,,,,,Size,8,shoe-001-8,shopify,100,deny,manual,89.99,TRUE,TRUE,,
nike-air-zoom-pegasus-40,,,,,,,Size,9,shoe-001-9,shopify,100,deny,manual,89.99,TRUE,TRUE,,
nike-air-zoom-pegasus-40,,,,,,,Size,10,shoe-001-10,shopify,100,deny,manual,89.99,TRUE,TRUE,,
nike-air-zoom-pegasus-40,,,,,,,Size,11,shoe-001-11,shopify,100,deny,manual,89.99,TRUE,TRUE,,
nike-air-zoom-pegasus-40,,,,,,,Size,12,shoe-001-12,shopify,100,deny,manual,89.99,TRUE,TRUE,,
nike-revolution-6,Nike Revolution 6,"Lightweight, budget-friendly trainer with breathable mesh.",Nike,Running Shoes,"Nike, Running Shoes",TRUE,Size,6,shoe-002-6,shopify,100,deny,manual,64.99,TRUE,TRUE,active,https://images.unsplash.com/photo-1557330359-ffb0deed6163?fm=jpg&q=80&w=1200&auto=format&fit=crop
nike-revolution-6,,,,,,,Size,7,shoe-002-7,shopify,100,deny,manual,64.99,TRUE,TRUE,,
nike-revolution-6,,,,,,,Size,8,shoe-002-8,shopify,100,deny,manual,64.99,TRUE,TRUE,,
nike-revolution-6,,,,,,,Size,9,shoe-002-9,shopify,100,deny,manual,64.99,TRUE,TRUE,,
nike-revolution-6,,,,,,,Size,10,shoe-002-10,shopify,100,deny,manual,64.99,TRUE,TRUE,,
nike-revolution-6,,,,,,,Size,11,shoe-002-11,shopify,100,deny,manual,64.99,TRUE,TRUE,,
nike-air-max-270,Nike Air Max 270,Lifestyle runner with Nike's largest heel Air unit for all-day comfort.,Nike,Running Shoes,"Nike, Running Shoes",TRUE,Size,8,shoe-003-8,shopify,100,deny,manual,139.99,TRUE,TRUE,active,https://images.unsplash.com/photo-1562613521-6b5293e5b0ea?fm=jpg&q=80&w=1200&auto=format&fit=crop
nike-air-max-270,,,,,,,Size,9,shoe-003-9,shopify,100,deny,manual,139.99,TRUE,TRUE,,
nike-air-max-270,,,,,,,Size,10,shoe-003-10,shopify,100,deny,manual,139.99,TRUE,TRUE,,
nike-air-max-270,,,,,,,Size,11,shoe-003-11,shopify,100,deny,manual,139.99,TRUE,TRUE,,
nike-air-max-270,,,,,,,Size,12,shoe-003-12,shopify,100,deny,manual,139.99,TRUE,TRUE,,
nike-air-max-270,,,,,,,Size,13,shoe-003-13,shopify,100,deny,manual,139.99,TRUE,TRUE,,
nike-free-rn-5-0,Nike Free RN 5.0,"Flexible, barefoot-feel trainer for natural motion running.",Nike,Running Shoes,"Nike, Running Shoes",TRUE,Size,7,shoe-004-7,shopify,100,deny,manual,79.99,TRUE,TRUE,active,https://images.unsplash.com/photo-1557330359-ffb0deed6163?fm=jpg&q=80&w=1200&auto=format&fit=crop
nike-free-rn-5-0,,,,,,,Size,8,shoe-004-8,shopify,100,deny,manual,79.99,TRUE,TRUE,,
nike-free-rn-5-0,,,,,,,Size,9,shoe-004-9,shopify,100,deny,manual,79.99,TRUE,TRUE,,
nike-free-rn-5-0,,,,,,,Size,10,shoe-004-10,shopify,100,deny,manual,79.99,TRUE,TRUE,,
nike-free-rn-5-0,,,,,,,Size,11,shoe-004-11,shopify,100,deny,manual,79.99,TRUE,TRUE,,
adidas-ultraboost-22,Adidas Ultraboost 22,Premium energy-return trainer with Boost midsole cushioning.,Adidas,Running Shoes,"Adidas, Running Shoes",TRUE,Size,8,shoe-005-8,shopify,100,deny,manual,149.99,TRUE,TRUE,active,https://images.unsplash.com/flagged/photo-1556637640-2c80d3201be8?fm=jpg&q=80&w=1200&auto=format&fit=crop
